onset	duration	eventnumber
67065	0	1
67270	0	2
67468	0	3
67671	0	4
67870	0	5
68070	0	6
68271	0	7
68470	0	8
68670	0	9
68871	0	10
69070	0	11
69270	0	12
69470	0	13
69669	0	14
69871	0	15
70070	0	16
70271	0	17
70469	0	18
70669	0	19
70871	0	20
72216	0	252
75881	0	1
76087	0	2
76286	0	3
76487	0	4
76687	0	5
76887	0	6
77087	0	7
77287	0	8
77483	0	9
77687	0	10
77887	0	11
78087	0	12
78287	0	13
78485	0	14
78686	0	15
78887	0	16
79082	0	17
79292	0	18
79503	0	19
79703	0	20
81067	0	252
84764	0	1
84970	0	2
85170	0	3
85371	0	4
85570	0	5
85770	0	6
85970	0	7
86170	0	8
86370	0	9
86569	0	10
86770	0	11
86970	0	12
87170	0	13
87370	0	14
87569	0	15
87771	0	16
87986	0	17
88187	0	18
88404	0	19
88603	0	20
89950	0	252
93647	0	1
93853	0	2
94053	0	3
94253	0	4
94453	0	5
94653	0	6
94854	0	7
95054	0	8
95253	0	9
95454	0	10
95653	0	11
95853	0	12
96053	0	13
96253	0	14
96453	0	15
96653	0	16
96853	0	17
97053	0	18
97254	0	19
97453	0	20
98716	0	252
102398	0	1
102603	0	2
102803	0	3
103003	0	4
103203	0	5
103403	0	6
103603	0	7
103803	0	8
104002	0	9
104203	0	10
104403	0	11
104604	0	12
104804	0	13
105003	0	14
105200	0	15
105403	0	16
105603	0	17
105803	0	18
106004	0	19
106220	0	20
107649	0	252
111346	0	1
111553	0	2
111753	0	3
111953	0	4
112154	0	5
112353	0	6
112553	0	7
112753	0	8
112953	0	9
113154	0	10
113353	0	11
113553	0	12
113753	0	13
113953	0	14
114153	0	15
114353	0	16
114553	0	17
114754	0	18
114953	0	19
115153	0	20
116432	0	252
120130	0	1
120337	0	2
120536	0	3
120736	0	4
120936	0	5
121136	0	6
121336	0	7
121536	0	8
121736	0	9
121936	0	10
122137	0	11
122353	0	12
122553	0	13
122753	0	14
122953	0	15
123153	0	16
123353	0	17
123553	0	18
123753	0	19
123953	0	20
125349	0	252
129047	0	1
129253	0	2
129452	0	3
129653	0	4
129852	0	5
130053	0	6
130253	0	7
130453	0	8
130652	0	9
130853	0	10
131053	0	11
131252	0	12
131452	0	13
131653	0	14
131853	0	15
132053	0	16
132269	0	17
132470	0	18
132669	0	99
132870	0	19
133070	0	20
134365	0	252
138080	0	1
138286	0	2
138486	0	3
138687	0	4
138886	0	5
139086	0	6
139286	0	7
139486	0	8
139686	0	9
139886	0	10
140085	0	11
140286	0	12
140486	0	13
140686	0	14
140886	0	15
141086	0	16
141287	0	17
141486	0	18
141687	0	19
141886	0	20
144847	0	254
146929	0	1
147136	0	2
147336	0	3
147534	0	4
147736	0	5
147936	0	6
148136	0	7
148335	0	8
148536	0	9
148736	0	10
148936	0	11
149136	0	12
149336	0	13
149536	0	14
149736	0	15
149936	0	16
150153	0	17
150370	0	18
150586	0	19
150783	0	20
152149	0	252
155896	0	1
156102	0	2
156302	0	3
156502	0	4
156702	0	5
156902	0	6
157102	0	7
157302	0	8
157501	0	9
157702	0	10
157902	0	99
158103	0	11
158303	0	12
158503	0	13
158702	0	14
158902	0	15
159118	0	16
159318	0	17
159519	0	18
159718	0	19
159919	0	20
161396	0	252
164996	0	1
165203	0	2
165402	0	3
165602	0	4
165802	0	5
166002	0	6
166201	0	7
166402	0	8
166602	0	9
166802	0	10
167002	0	11
167202	0	12
167402	0	13
167602	0	14
167801	0	15
168003	0	16
168202	0	17
168402	0	18
168602	0	19
168801	0	20
170299	0	252
173896	0	1
174101	0	2
174302	0	3
174503	0	4
174718	0	5
174920	0	6
175135	0	7
175333	0	8
175535	0	9
175735	0	10
175935	0	11
176135	0	12
176331	0	99
176535	0	13
176735	0	14
176935	0	15
177136	0	16
177335	0	17
177535	0	18
177735	0	19
177941	0	20
179313	0	252
182980	0	1
183185	0	99
183384	0	2
183585	0	3
183785	0	4
183985	0	5
184186	0	6
184382	0	7
184583	0	8
184785	0	9
184985	0	10
185185	0	11
185385	0	12
185585	0	13
185782	0	14
185985	0	15
186185	0	16
186386	0	17
186586	0	18
186783	0	19
186985	0	20
188329	0	252
192079	0	1
192285	0	2
192485	0	3
192685	0	4
192885	0	5
193085	0	6
193287	0	7
193485	0	8
