onset	duration	eventnumber
10927	0	1
13792	0	252
14849	0	2
16605	0	252
17612	0	3
20763	0	252
21774	0	4
24229	0	252
25241	0	5
28995	0	252
30008	0	6
32844	0	252
33891	0	7
35822	0	252
36824	0	8
39607	0	252
40607	0	9
42706	0	252
43708	0	10
45570	0	252
46576	0	11
48672	0	252
49674	0	12
52507	0	252
53510	0	13
56872	0	252
57875	0	14
61160	0	252
62175	0	15
65072	0	252
66074	0	16
68892	0	252
69891	0	17
73790	0	252
74791	0	18
76906	0	252
77908	0	19
80610	0	252
81625	0	20
83720	0	252
90352	0	21
92454	0	252
93458	0	22
96056	0	252
97056	0	23
99239	0	252
100240	0	24
102406	0	252
103408	0	25
105485	0	252
106489	0	26
108487	0	252
109491	0	27
111254	0	252
112258	0	28
114160	0	252
115173	0	29
117770	0	252
118773	0	30
121723	0	252
122723	0	31
124652	0	252
125658	0	32
128176	0	252
129190	0	33
131186	0	252
132192	0	34
133987	0	252
134989	0	35
136653	0	252
137658	0	36
140443	0	252
141457	0	37
143434	0	252
144441	0	38
146638	0	252
147641	0	39
149336	0	252
150342	0	40
152435	0	252
158885	0	41
160569	0	252
161574	0	42
164721	0	252
165725	0	43
167942	0	252
168955	0	44
172471	0	252
173471	0	45
176022	0	252
177022	0	46
180027	0	252
181038	0	47
183539	0	252
184540	0	48
188622	0	252
189625	0	49
192269	0	252
193272	0	50
195388	0	252
196390	0	51
199135	0	252
200139	0	52
202168	0	252
203172	0	53
205901	0	252
206904	0	54
210357	0	252
211374	0	55
213873	0	252
214887	0	56
218333	0	252
219337	0	57
221874	0	252
222888	0	58
226339	0	252
227339	0	59
230773	0	252
231790	0	60
236588	0	254
244683	0	61
250002	0	252
251007	0	62
254271	0	252
255272	0	63
258369	0	252
259372	0	64
262358	0	252
263371	0	65
266032	0	252
267037	0	66
270354	0	252
271388	0	67
275009	0	252
276023	0	68
278423	0	252
279439	0	69
281849	0	252
282855	0	70
284737	0	252
285737	0	71
288408	0	252
289421	0	72
292004	0	252
293004	0	73
295901	0	252
296904	0	74
299355	0	252
300354	0	75
303072	0	252
304086	0	76
306504	0	252
307520	0	77
310571	0	252
311585	0	78
313601	0	252
314604	0	79
317439	0	252
318453	0	80
320436	0	252
326916	0	81
328983	0	252
329987	0	82
332537	0	252
333552	0	83
336221	0	252
337221	0	84
339818	0	252
340819	0	85
342665	0	252
343671	0	86
346520	0	252
347536	0	87
349606	0	252
350622	0	88
352799	0	252
353802	0	89
356818	0	252
357821	0	90
360985	0	252
361986	0	91
364047	0	252
365054	0	92
367735	0	252
368770	0	93
371668	0	252
372669	0	94
375020	0	252
376037	0	95
380303	0	252
381301	0	96
384519	0	252
385520	0	97
388322	0	252
389337	0	98
394134	0	252
395133	0	99
398420	0	252
399436	0	100
401484	0	252
