onset	duration	eventnumber
25796	0	1
26001	0	2
26203	0	3
26403	0	4
26602	0	5
26803	0	6
27002	0	7
27201	0	8
27403	0	9
27602	0	10
27803	0	11
28002	0	12
28203	0	13
28402	0	14
28603	0	15
28819	0	16
29019	0	17
29219	0	18
29419	0	19
29619	0	20
31165	0	252
34696	0	1
34902	0	2
35102	0	3
35302	0	4
35502	0	5
35703	0	6
35902	0	7
36102	0	8
36302	0	9
36503	0	10
36702	0	11
36903	0	12
37102	0	13
37302	0	14
37503	0	15
37702	0	16
37902	0	17
38103	0	18
38302	0	19
38502	0	20
40182	0	252
43529	0	1
43736	0	2
43936	0	3
44152	0	4
44352	0	5
44552	0	6
44751	0	7
44953	0	8
45152	0	9
45355	0	10
45552	0	11
45751	0	12
45953	0	13
46151	0	14
46353	0	15
46569	0	16
46768	0	17
46969	0	18
47186	0	19
47402	0	20
49115	0	252
52379	0	1
52586	0	2
52802	0	3
53002	0	4
53202	0	5
53402	0	6
53601	0	7
53802	0	8
54002	0	9
54202	0	10
54402	0	11
54619	0	12
54819	0	13
55018	0	14
55219	0	15
55419	0	16
55618	0	17
55817	0	18
56019	0	19
56223	0	20
57899	0	252
61295	0	1
61502	0	2
61702	0	3
61902	0	4
62119	0	5
62336	0	6
62535	0	7
62735	0	8
62935	0	9
63135	0	10
63335	0	11
63535	0	12
63735	0	13
63935	0	14
64136	0	15
64352	0	16
64552	0	17
64752	0	18
64952	0	19
65169	0	20
66814	0	252
70246	0	1
70452	0	2
70652	0	3
70852	0	4
71051	0	5
71252	0	6
71452	0	7
71669	0	8
71869	0	9
72069	0	10
72268	0	11
72468	0	12
72668	0	13
72869	0	14
73068	0	15
73268	0	16
73469	0	17
73665	0	18
73869	0	19
74085	0	20
75765	0	252
79178	0	1
79386	0	2
79584	0	3
79785	0	4
79985	0	5
80185	0	6
80385	0	99
80586	0	7
80802	0	8
81002	0	9
81202	0	10
81401	0	11
81601	0	12
81802	0	13
82002	0	14
82202	0	15
82402	0	16
82601	0	17
82802	0	18
83002	0	19
83202	0	20
84678	0	252
88278	0	1
88485	0	2
88685	0	3
88884	0	4
89085	0	5
89284	0	6
89485	0	99
89685	0	7
89884	0	8
90085	0	9
90285	0	10
90501	0	11
90701	0	12
90901	0	13
91101	0	14
91302	0	15
91517	0	16
91719	0	17
91935	0	18
92134	0	19
92335	0	20
93778	0	252
97278	0	1
97485	0	2
97685	0	3
97884	0	4
98085	0	5
98285	0	6
98485	0	7
98684	0	8
98885	0	9
99101	0	10
99301	0	11
99501	0	12
99701	0	13
99902	0	14
100101	0	15
100301	0	16
