onset	duration	eventnumber
3479	0	1
6371	0	252
7399	0	2
10256	0	252
11262	0	3
16210	0	252
17208	0	4
20621	0	252
21627	0	5
23672	0	252
24691	0	6
27571	0	252
28574	0	7
31442	0	252
32443	0	8
36206	0	252
37208	0	9
40774	0	252
41775	0	10
45909	0	252
46909	0	11
49475	0	252
50490	0	12
53838	0	252
54842	0	13
57888	0	252
58892	0	14
63221	0	252
64225	0	15
69142	0	252
70141	0	16
73505	0	252
74509	0	17
77739	0	252
78741	0	18
83623	0	252
84625	0	19
87309	0	252
88309	0	20
90523	0	252
96936	0	21
99223	0	252
100225	0	22
103140	0	252
104141	0	23
106757	0	252
107765	0	24
111306	0	252
112308	0	25
115657	0	252
116659	0	26
120004	0	252
121008	0	27
124741	0	252
125739	0	28
128503	0	252
129505	0	29
132689	0	252
133690	0	30
137875	0	252
138889	0	31
141841	0	252
142841	0	32
145708	0	252
146724	0	33
154856	0	252
155856	0	34
161069	0	252
162074	0	35
165506	0	252
166506	0	36
176425	0	254
178806	0	37
182076	0	252
183091	0	38
187086	0	252
188090	0	39
190406	0	252
191407	0	40
194640	0	252
201919	0	41
205057	0	252
206056	0	42
215340	0	252
216340	0	43
219074	0	252
220073	0	44
222087	0	252
223089	0	45
227002	0	252
228007	0	46
237603	0	252
238607	0	47
242470	0	252
243472	0	48
246701	0	252
247705	0	49
250239	0	252
251256	0	50
253836	0	252
254840	0	51
257653	0	252
258655	0	52
263856	0	252
264857	0	53
268058	0	252
269055	0	54
275040	0	252
276041	0	55
280804	0	252
281805	0	56
286054	0	252
287057	0	57
290422	0	252
291430	0	58
294472	0	252
295472	0	59
298837	0	252
299839	0	60
303254	0	252
318734	0	61
321305	0	252
322305	0	62
325604	0	252
326606	0	63
329055	0	252
330054	0	64
332337	0	252
333337	0	65
336801	0	252
337805	0	66
342902	0	252
343905	0	67
356337	0	254
358638	0	68
364383	0	252
365387	0	69
368471	0	252
369472	0	70
373551	0	252
374554	0	71
378918	0	254
381204	0	72
384390	0	252
385389	0	73
388621	0	252
389621	0	74
396268	0	252
397271	0	75
399289	0	252
400287	0	76
406272	0	252
407270	0	77
409689	0	252
410688	0	78
414656	0	252
415654	0	79
420435	0	252
421436	0	80
424105	0	252
430534	0	81
432802	0	252
433802	0	82
437566	0	252
438569	0	83
441004	0	252
442020	0	84
444968	0	252
445970	0	85
450553	0	252
451553	0	86
453921	0	252
454936	0	87
460934	0	252
461936	0	88
475620	0	254
477921	0	89
480953	0	252
481953	0	90
486366	0	252
487369	0	91
490521	0	252
491553	0	92
495237	0	252
496238	0	93
500485	0	252
501487	0	94
504052	0	252
505054	0	95
507770	0	252
508769	0	96
512884	0	252
513888	0	97
516468	0	252
517472	0	98
521684	0	252
522687	0	99
524967	0	252
525971	0	100
528518	0	252
