onset	duration	eventnumber
9771	0	1
9978	0	2
10179	0	3
10379	0	4
10578	0	5
10779	0	6
10978	0	7
11178	0	8
11378	0	9
11578	0	10
11778	0	11
11978	0	12
12179	0	13
12378	0	14
12578	0	15
12779	0	16
12978	0	17
13179	0	18
13394	0	19
13595	0	20
15225	0	252
18705	0	1
18912	0	2
19112	0	3
19307	0	4
19511	0	5
19712	0	6
19912	0	7
20111	0	8
20311	0	99
20510	0	9
20712	0	10
20912	0	11
21112	0	12
21310	0	13
21511	0	14
21712	0	15
21912	0	16
22112	0	17
22311	0	18
22511	0	19
22711	0	20
24006	0	252
27739	0	1
27945	0	2
28145	0	3
28345	0	4
28545	0	5
28744	0	6
28945	0	7
29145	0	8
29345	0	9
29544	0	10
29743	0	11
29945	0	12
30145	0	13
30346	0	14
30544	0	15
30745	0	16
30945	0	17
31145	0	18
31344	0	19
31545	0	20
32874	0	252
36589	0	1
36794	0	2
36994	0	3
37195	0	4
37394	0	5
37594	0	6
37795	0	7
37994	0	8
38195	0	9
38395	0	10
38594	0	11
38795	0	12
38995	0	13
39212	0	14
39411	0	15
39611	0	16
39811	0	17
40015	0	18
40229	0	19
40425	0	20
41824	0	252
45522	0	1
45727	0	2
45924	0	3
46128	0	4
46327	0	5
46528	0	6
46728	0	7
46927	0	8
47128	0	9
47328	0	10
47526	0	11
47728	0	12
47926	0	13
48128	0	14
48328	0	15
48528	0	16
48728	0	17
48945	0	18
49164	0	19
49378	0	99
49578	0	20
50922	0	252
54588	0	1
54794	0	2
54993	0	3
55194	0	4
55394	0	5
55594	0	6
55795	0	7
55990	0	8
56194	0	9
56395	0	10
56594	0	11
56794	0	12
56994	0	13
57194	0	14
57394	0	15
57594	0	16
57795	0	17
57991	0	18
58194	0	19
58394	0	20
59657	0	252
63321	0	1
63527	0	2
63727	0	3
63927	0	4
64127	0	5
64327	0	6
64528	0	7
64727	0	8
64927	0	9
65127	0	10
65327	0	11
65527	0	12
65728	0	13
65927	0	14
66127	0	15
66327	0	16
66527	0	17
66727	0	18
66927	0	19
67127	0	20
68357	0	252
72204	0	1
72411	0	2
72609	0	3
72811	0	4
73010	0	5
73212	0	6
73406	0	7
73610	0	8
73810	0	9
74011	0	10
74211	0	11
74410	0	99
74610	0	12
74810	0	13
75008	0	14
75211	0	15
