onset	duration	eventnumber
3461	0	1
3667	0	2
3869	0	3
4071	0	4
4283	0	5
4482	0	6
4681	0	7
4884	0	8
5081	0	9
5283	0	10
5482	0	11
5684	0	12
5883	0	13
6083	0	14
6280	0	15
6483	0	16
6683	0	17
6880	0	18
7083	0	19
7278	0	20
8297	0	252
12128	0	1
12333	0	2
12532	0	3
12730	0	4
12931	0	5
13132	0	6
13333	0	7
13536	0	8
13729	0	9
13932	0	10
14133	0	11
14333	0	12
14531	0	13
14731	0	14
14933	0	15
15129	0	16
15331	0	17
15532	0	18
15733	0	19
15933	0	20
17015	0	252
20961	0	1
21166	0	2
21364	0	3
21562	0	4
21766	0	5
21967	0	6
22164	0	7
22365	0	8
22568	0	9
22767	0	10
22967	0	11
23165	0	12
23368	0	13
23563	0	14
23766	0	15
23965	0	16
24166	0	17
24366	0	18
24566	0	19
24763	0	20
25914	0	252
29778	0	1
29982	0	2
30183	0	3
30382	0	4
30583	0	5
30783	0	6
30982	0	7
31183	0	8
31382	0	9
31581	0	10
31781	0	11
31980	0	12
32181	0	13
32382	0	14
32582	0	15
32781	0	16
32982	0	17
33181	0	99
33381	0	18
33579	0	19
33779	0	20
34794	0	252
38744	0	1
38949	0	2
39149	0	3
39348	0	4
39546	0	5
39750	0	6
39948	0	7
40150	0	8
40350	0	99
40546	0	9
40750	0	10
40946	0	11
41150	0	12
41350	0	13
41546	0	14
41748	0	15
41949	0	16
42149	0	17
42347	0	18
42547	0	19
42749	0	20
43829	0	252
47744	0	1
47950	0	2
48150	0	3
48348	0	4
48550	0	5
48745	0	6
48951	0	7
49149	0	8
49349	0	9
49550	0	10
49748	0	11
49949	0	12
50150	0	13
50349	0	14
50546	0	15
50748	0	16
50950	0	17
51149	0	18
51345	0	19
51548	0	20
52646	0	252
56528	0	1
56733	0	2
56933	0	3
57130	0	4
57331	0	5
57532	0	6
57734	0	7
57933	0	8
58131	0	9
58329	0	10
58532	0	11
58729	0	12
58933	0	13
59133	0	14
59331	0	15
59531	0	16
59733	0	17
59933	0	18
60130	0	19
60332	0	20
61830	0	252
65312	0	1
65516	0	2
65717	0	3
65917	0	4
66113	0	5
66315	0	6
66516	0	7
66714	0	8
66916	0	9
67115	0	10
67316	0	11
67514	0	12
67716	0	13
67916	0	14
68115	0	15
68316	0	16
68514	0	17
68716	0	18
68916	0	19
69116	0	20
70113	0	252
74095	0	1
74299	0	2
74498	0	3
74701	0	4
74900	0	5
75100	0	6
75298	0	7
75498	0	8
75699	0	9
75898	0	10
76099	0	11
76299	0	12
76499	0	13
76699	0	14
76896	0	15
77098	0	16
77299	0	17
77498	0	18
77696	0	19
77899	0	20
78863	0	252
82895	0	1
83098	0	2
83299	0	3
83499	0	4
83699	0	5
83898	0	6
84104	0	7
84318	0	8
84513	0	9
84716	0	10
84916	0	11
85117	0	12
85317	0	13
85514	0	14
85716	0	15
85916	0	16
86117	0	17
86316	0	18
86514	0	99
86714	0	19
86915	0	20
87894	0	252
91962	0	1
92165	0	2
92366	0	3
92566	0	4
92763	0	5
92967	0	6
93166	0	7
93366	0	8
93564	0	9
93766	0	10
93968	0	11
94165	0	99
94366	0	12
94566	0	13
94765	0	14
94966	0	15
95166	0	16
95367	0	17
95566	0	18
95762	0	19
95966	0	20
97030	0	252
100944	0	1
101149	0	2
101348	0	3
101548	0	4
101747	0	5
101945	0	6
102146	0	7
102350	0	8
102549	0	9
102745	0	10
102949	0	11
103147	0	12
103350	0	13
103549	0	14
103745	0	15
103947	0	16
104150	0	17
104348	0	18
104548	0	19
104747	0	20
105847	0	252
109712	0	1
109915	0	2
110114	0	3
110316	0	4
110515	0	5
110715	0	6
110915	0	7
111117	0	8
111318	0	9
111515	0	10
111716	0	11
111916	0	12
112115	0	13
112316	0	14
112514	0	15
112717	0	16
112918	0	17
113115	0	18
113315	0	19
113517	0	20
114548	0	252
118528	0	1
118731	0	2
118929	0	3
119133	0	4
119331	0	5
119532	0	6
119732	0	7
119932	0	8
120130	0	9
120333	0	10
120532	0	11
120732	0	12
120931	0	99
121131	0	13
121330	0	14
121533	0	15
121733	0	16
121930	0	17
122132	0	18
122331	0	19
